Model,File Path,Data Length,ROUGE-1 Avg,ROUGE-2 Avg,ROUGE-L Avg
llama,../llama_pred/ori_train_samples.json,100,0.0708969165530091,0.028129946735591244,0.050494309879369065
llama,../llama_pred/mod_train_samples.json,100,0.07133333872298374,0.02568990354924316,0.04816578322146747
llama,../llama_pred/ori_val_samples.json,100,0.0676054650528519,0.025308170428803005,0.04751849366627196
llama,../llama_pred/mod_val_samples.json,100,0.06416400043127031,0.022936031017241346,0.0448253699258339
llama,../llama_pred/ori_test_samples.json,100,0.060033916936120486,0.02212562913554121,0.04111113391772919
llama,../llama_pred/mod_test_samples.json,100,0.059373843099014195,0.021000092648450364,0.04067542596061181
mistral,../mistral_pred/ori_train.json,517,0.1310301511286842,0.0492993593109688,0.08335193825990855
mistral,../mistral_pred/mod_train.json,517,0.12474935432937433,0.044061051489628834,0.07752601275629883
mistral,../mistral_pred/ori_val.json,101,0.13907329928186898,0.04798820868459967,0.08554859485319889
mistral,../mistral_pred/mod_val.json,101,0.12898331325494108,0.04484970148951859,0.07684226370288073
mistral,../mistral_pred/ori_test.json,250,0.12215575783957888,0.044342442814900455,0.07840287415383619
mistral,../mistral_pred/mod_test.json,250,0.12054901803142558,0.041095429184969154,0.07535541040298382
finma_nlp,../finma_nlp_pred/ori_train.json,517,0.02879960553013788,0.0013090175039725865,0.026881021302789618
finma_nlp,../finma_nlp_pred/mod_train.json,517,0.031034204979938876,0.0014885529402226118,0.027903207949469398
finma_nlp,../finma_nlp_pred/ori_val.json,101,0.018489041591395496,0.00010646225912913872,0.01727436140496657
finma_nlp,../finma_nlp_pred/mod_val.json,101,0.02745100783292677,0.0008426209737006441,0.025231577493847634
finma_nlp,../finma_nlp_pred/ori_test.json,250,0.028418551942183838,0.0011214881006043527,0.026073325719638697
finma_nlp,../finma_nlp_pred/mod_test.json,250,0.02882851269030225,0.0012909928156599134,0.026536471152483036
finma_full,../finma_full_pred/ori_train.json,517,0.02766437415901355,0.0023714676218613956,0.024815849359998404
finma_full,../finma_full_pred/mod_train.json,517,0.036148641138460134,0.0022996349678102166,0.031737786640718114
finma_full,../finma_full_pred/ori_val.json,101,0.03114362596610273,0.0020151053566895153,0.027856609016345537
finma_full,../finma_full_pred/mod_val.json,101,0.03183857826079645,0.0024684235340827316,0.02752476595414085
finma_full,../finma_full_pred/ori_test.json,250,0.030965183769271366,0.0023499397232896253,0.02640535383892382
finma_full,../finma_full_pred/mod_test.json,250,0.03429469567209585,0.002097820151489291,0.030006776956551448
fingpt,../fingpt_pred/ori_train.json,517,7.894840721588443e-05,0.0,7.894840721588443e-05
fingpt,../fingpt_pred/mod_train.json,517,0.0,0.0,0.0
fingpt,../fingpt_pred/ori_val.json,101,0.0,0.0,0.0
fingpt,../fingpt_pred/mod_val.json,101,0.0,0.0,0.0
fingpt,../fingpt_pred/ori_test.json,250,0.0,0.0,0.0
fingpt,../fingpt_pred/mod_test.json,250,4.819277108433735e-05,0.0,4.819277108433735e-05
baichuan,../baichuan_pred/ori_train_samples.json,100,0.04847174360355039,0.006678542872711881,0.035935390002475344
baichuan,../baichuan_pred/mod_train_samples.json,100,0.0441105582620641,0.004253788290313836,0.032893109297370264
baichuan,../baichuan_pred/ori_val_samples.json,100,0.055946353073232064,0.007423121178020644,0.038680274685282776
baichuan,../baichuan_pred/mod_val_samples.json,100,0.049224804254064516,0.005745054624481749,0.034498474796374176
baichuan,../baichuan_pred/ori_test_samples.json,100,0.04126524539501134,0.004420744844129306,0.03146675956500546
baichuan,../baichuan_pred/mod_test_samples.json,100,0.04620609919286886,0.00544832808678938,0.03288158782734209
disc_fin,../disc_fin_pred/ori_train.json,517,0.02595688403130626,0.003843131903998567,0.024050159642464222
disc_fin,../disc_fin_pred/mod_train.json,517,0.028309973172029414,0.005293221013034248,0.026106577267802526
disc_fin,../disc_fin_pred/ori_val.json,101,0.02373714965485207,0.0034459409692114717,0.021988070972372598
disc_fin,../disc_fin_pred/mod_val.json,101,0.01755123849476266,0.0037767597784833296,0.016751966259846856
disc_fin,../disc_fin_pred/ori_test.json,250,0.030817806801115184,0.005453764266634201,0.028414017171802163
disc_fin,../disc_fin_pred/mod_test.json,250,0.023765256980574932,0.004686134711504411,0.022580383626197156
gpt,../gpt_pred/ori_train.json,517,0.14722237081195352,0.04667568990694825,0.08981897456349791
gpt,../gpt_pred/mod_train.json,517,0.14365858533691522,0.04354618649081728,0.08681970476492601
gpt,../gpt_pred/ori_val.json,101,0.14993286083447988,0.04564901412613375,0.08842405264861636
gpt,../gpt_pred/mod_val.json,101,0.15106341016536334,0.04672626354108473,0.08871803950764522
gpt,../gpt_pred/ori_test.json,250,0.1412537759828784,0.04193233280478271,0.08536234345919519
gpt,../gpt_pred/mod_test.json,250,0.13732256936200474,0.04087834614322064,0.08255560341220054
