Model,File Path,Data Length,BLEU Avg,ROUGE-1 Avg,ROUGE-2 Avg,ROUGE-L Avg
llama,llama_pred/ori_train.json,500,4.221179233645156e-05,0.0022078832152973003,0.0005045872635405541,0.0021169367185683487
llama,llama_pred/mod_train.json,500,3.405294243745727e-05,0.0022980641854440215,0.0005251766102523197,0.002218838221593214
llama,llama_pred/ori_dev.json,500,9.100629961802998e-06,0.0022082272611608548,0.0004855822162832998,0.0021213865488131224
llama,llama_pred/mod_dev.json,500,3.086617600817146e-05,0.002343097106949417,0.0005178969861489132,0.002247651322609677
llama,llama_pred/ori_test.json,500,6.378991798012006e-06,0.002345238895236841,0.000502230650548358,0.002242896159241649
llama,llama_pred/mod_test.json,500,5.793072867973269e-06,0.0025294539295676734,0.000512483632064768,0.002374743914356164
mistral,mistral_pred/ori_train.json,500,0.0002820393960739599,0.021223937329158196,0.004002214716803476,0.020890509006340822
mistral,mistral_pred/mod_train.json,500,0.0002363587729034216,0.02238959057852855,0.004612334890084806,0.021972229525302537
mistral,mistral_pred/ori_dev.json,500,0.0,0.023155756554549857,0.00478754069706726,0.02289993188521329
mistral,mistral_pred/mod_dev.json,500,0.0,0.022643448272014744,0.005150018864824839,0.022549820370900205
mistral,mistral_pred/ori_test.json,500,0.0001809815962094195,0.020540475844883915,0.0035822212850621193,0.020141581991096856
mistral,mistral_pred/mod_test.json,500,8.365173779310592e-05,0.021240636049202878,0.003408379546331468,0.02046795258590117
finma_nlp,finma_nlp_pred/ori_train.json,500,0.0,0.14814814814814814,0.030303030303030304,0.14814814814814814
finma_nlp,finma_nlp_pred/mod_train.json,500,0.0,0.13905723905723902,0.026262626262626262,0.13905723905723902
finma_nlp,finma_nlp_pred/ori_dev.json,500,0.0,0.09195402298850569,0.008113590263691683,0.09195402298850569
finma_nlp,finma_nlp_pred/mod_dev.json,500,0.0,0.08657569610916463,0.006085192697768763,0.08657569610916463
finma_nlp,finma_nlp_pred/ori_test.json,500,0.0,0.10604935376276838,0.016269981540395117,0.10604935376276838
finma_nlp,finma_nlp_pred/mod_test.json,500,0.0,0.10602981029810296,0.018292682926829267,0.10602981029810296
finma_full,finma_full_pred/ori_train.json,500,0.0,0.23037037037037056,0.057912457912457915,0.23037037037037056
finma_full,finma_full_pred/mod_train.json,500,0.0,0.21810485810485827,0.057912457912457915,0.21810485810485827
finma_full,finma_full_pred/ori_dev.json,500,0.0,0.09432048681541577,0.012170385395537525,0.09432048681541577
finma_full,finma_full_pred/mod_dev.json,500,0.0,0.08350236646382689,0.010141987829614604,0.08350236646382689
finma_full,finma_full_pred/ori_test.json,500,0.0,0.10840108401084009,0.016260162601626018,0.10840108401084009
finma_full,finma_full_pred/mod_test.json,500,0.0,0.10162601626016259,0.02032520325203252,0.10162601626016259
fingpt,fingpt_pred/ori_train.json,500,0.0,0.003367003367003367,0.0,0.003367003367003367
fingpt,fingpt_pred/mod_train.json,500,0.0,0.003367003367003367,0.0,0.003367003367003367
fingpt,fingpt_pred/ori_dev.json,500,0.0,0.005409060175794456,0.0,0.005409060175794456
fingpt,fingpt_pred/mod_dev.json,500,0.0,0.005409060175794456,0.0,0.005409060175794456
fingpt,fingpt_pred/ori_test.json,500,0.0,0.0040650406504065045,0.0,0.0040650406504065045
fingpt,fingpt_pred/mod_test.json,500,0.0,0.0040650406504065045,0.0,0.0040650406504065045
baichuan,baichuan_pred/ori_train_samples.json,120,0.0,0.0071516684000762784,0.0015692640692640694,0.0071516684000762784
baichuan,baichuan_pred/mod_train_samples.json,120,0.0,0.009274760749525301,0.0008333333333333334,0.008920150820447286
baichuan,baichuan_pred/ori_dev_samples.json,120,0.0,0.007065695866222975,0.0004869540468439595,0.0067954255959527055
baichuan,baichuan_pred/mod_dev_samples.json,120,0.0,0.004681665857047732,0.0006464124111182936,0.004681665857047732
baichuan,baichuan_pred/ori_test_samples.json,120,0.0,0.008102317659458281,0.0,0.008102317659458281
baichuan,baichuan_pred/mod_test_samples.json,120,0.0,0.008404295237575495,0.0008291893536440793,0.008089829828770463
disc_fin,disc_fin_pred/ori_train_samples.json,120,0.0,0.008055555555555555,0.0,0.008055555555555555
disc_fin,disc_fin_pred/mod_train_samples.json,120,0.0,0.012250611707133447,0.0,0.012250611707133447
disc_fin,disc_fin_pred/ori_dev_samples.json,120,0.0,0.012598919265585932,0.001851851851851852,0.012444598277931611
disc_fin,disc_fin_pred/mod_dev_samples.json,120,0.0,0.010793810174615127,0.0,0.010793810174615127
disc_fin,disc_fin_pred/ori_test_samples.json,120,0.0,0.00645682001614205,0.0,0.00645682001614205
disc_fin,disc_fin_pred/mod_test_samples.json,120,0.0,0.015583928083928085,0.0008333333333333334,0.015583928083928085
gpt,gpt_pred/ori_train.json,500,0.00026087190869873743,0.021554602057959414,0.004582807516249224,0.02091705970581838
gpt,gpt_pred/mod_train.json,500,0.00013082174855423331,0.02235129671471969,0.004999617474132469,0.02168511101224915
gpt,gpt_pred/ori_dev.json,500,0.0,0.022408015548630096,0.004755747194630644,0.0216690608736904
gpt,gpt_pred/mod_dev.json,500,0.0,0.02121230302260361,0.00504488985398052,0.020634388506909563
gpt,gpt_pred/ori_test.json,500,0.00011591874800114949,0.021451855093870893,0.004571767676141594,0.020778934280149895
gpt,gpt_pred/mod_test.json,500,7.551429981595674e-05,0.021426350162987346,0.004381454881003069,0.020666082704299246
